itemId,itemName,categories,allergens,menuItemNo,calories,calories_DV,calories_units,calories_from_fat,calories_from_fat_DV,calories_from_fat_units,energy_kJ,energy_kJ_DV,energy_kJ_units,protein,protein_DV,protein_units,carbohydrate,carbohydrate_DV,carbohydrate_units,fibre,fibre_DV,fibre_units,sugars,sugars_DV,sugars_units,addedsugars,addedsugars_DV,addedsugars_units,fat,fat_DV,fat_units,saturated_fat,saturated_fat_DV,saturated_fat_units,trans_fat,trans_fat_DV,trans_fat_units,cholesterol,cholesterol_DV,cholesterol_units,vitaminB6,vitaminB6_DV,vitaminB6_units,vitaminD,vitaminD_DV,vitaminD_units,calcium,calcium_DV,calcium_units,iron,iron_DV,iron_units,phosphorus,phosphorus_DV,phosphorus_units,potassium,potassium_DV,potassium_units,sodium,sodium_DV,sodium_units,caffeine,caffeine_DV,caffeine_units,itemIngredientStatement
200613,Dr Pepper (Small),"D123 Menu, Beverages, PM D123 Menu, Meals-Change Drinks",,420,140.0,,Cal.,0.0,,Cal.,,,,0.0,0.0,grams,38.0,0.13818181818181818,grams,0.0,0.0,grams,37.0,,grams,,,,0.0,0.0,grams,0.0,0.0,grams,0.0,,grams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,10.0,0.007692307692307693,milligrams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,milligrams,50.0,0.021739130434782608,milligrams,0.0,0.0,No unit of measurement,"Ingredients: Carbonated Water, High Fructose Corn Syrup, Water, Caramel Color, Phosphoric Acid, Caffeine, Sodium Benzoate (preservative), Natural And Artificial Flavors, Dimethypolysiloxane., Ice Ingredients: Ice.."
200402,Latte Pumpkin Spice with Nonfat Milk (Large),,Milk,2172,280.0,,Cal.,0.0,,Cal.,1170.0,,kilojoules,13.0,0.26,grams,55.0,0.2,grams,0.0,0.0,grams,55.0,,grams,36.0,0.72,grams,0.0,0.0,grams,0.0,0.0,grams,0.0,,grams,5.0,0.016666666666666666,milligrams,0.0,0.0,milligrams,4.0,0.2,microgram,480.0,0.36923076923076925,milligrams,0.0,0.0,milligrams,370.0,0.296,milligrams,630.0,0.13404255319148936,milligrams,180.0,0.0782608695652174,milligrams,65.0,0.1625,milligrams,
200356,Latte Pumpkin Spice with Nonfat Milk (Medium),,Milk,2170,230.0,,Cal.,0.0,,Cal.,950.0,,kilojoules,11.0,0.22,grams,45.0,0.16363636363636364,grams,0.0,0.0,grams,45.0,,grams,30.0,0.6,grams,0.0,0.0,grams,0.0,0.0,grams,0.0,,grams,5.0,0.016666666666666666,milligrams,0.0,0.0,milligrams,4.0,0.2,microgram,380.0,0.2923076923076923,milligrams,0.0,0.0,milligrams,290.0,0.232,milligrams,510.0,0.10851063829787234,milligrams,140.0,0.06086956521739131,milligrams,55.0,0.1375,milligrams,
200366,Latte Pumpkin Spice (Medium),,,99999995,340.0,,Cal.,90.0,,Cal.,,,,12.0,0.24,grams,51.0,0.18545454545454546,grams,1.0,0.03571428571428571,grams,48.0,,grams,,,,10.0,0.1282051282051282,grams,6.0,0.3,grams,0.0,,grams,30.0,0.1,milligrams,0.0,0.0,milligrams,160.0,8.0,microgram,380.0,0.2923076923076923,milligrams,0.0,0.0,milligrams,260.0,0.208,milligrams,420.0,0.08936170212765958,milligrams,160.0,0.06956521739130435,milligrams,265.0,0.6625,No unit of measurement,
200518,Latte Pumpkin Spice (Large),,,99999996,430.0,,Cal.,120.0,,Cal.,,,,16.0,0.32,grams,63.0,0.2290909090909091,grams,1.0,0.03571428571428571,grams,59.0,,grams,,,,14.0,0.1794871794871795,grams,8.0,0.4,grams,0.0,,grams,40.0,0.13333333333333333,milligrams,0.0,0.0,milligrams,210.0,10.5,microgram,510.0,0.3923076923076923,milligrams,0.0,0.0,milligrams,350.0,0.28,milligrams,550.0,0.11702127659574468,milligrams,210.0,0.09130434782608696,milligrams,350.0,0.875,No unit of measurement,
203745,Deluxe Crispy Chicken Sandwich,Chicken and Sandwiches,"Egg, Wheat",370,530.0,,Cal.,230.0,,Cal.,2220.0,,kilojoules,27.0,0.54,grams,47.0,0.1709090909090909,grams,2.0,0.07142857142857142,grams,10.0,,grams,7.0,0.14,grams,26.0,0.3333333333333333,grams,4.0,0.2,grams,0.0,,grams,65.0,0.21666666666666667,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,30.0,0.023076923076923078,milligrams,2.0,0.1111111111111111,milligrams,0.0,0.0,milligrams,480.0,0.10212765957446808,milligrams,1040.0,0.45217391304347826,milligrams,0.0,0.0,milligrams,"Ingredients: Chicken Breast Fillets With Rib Meat, Water, Wheat Flour, Vegetable Oil (canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil), Sugar, Salt, Modified Food Starch, Leavening (baking Soda, Sodium Aluminum Phosphate, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Yellow Corn Flour, Modified Corn Starch, Sodium Phosphate, Spices, Wheat Gluten, Yeast Extract, Monosodium Glutamate, Extractives Of Paprika (color), Natural Flavors, Gum Arabic, Maltodextrin. Contains: Wheat., Potato Roll Ingredients: Water, Flour (wheat, Malted Barley), Enriched Flour (wheat Flour, Malted Barley, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Potato Flour, Yeast, Wheat Gluten, Soybean Oil, Contains 2% Or Less: Honey, Natural Flavors, Salt, Corn Flour, Colors (turmeric, Paprika), Vinegar, Dextrose, Corn Starch, Maltodextrin, Ascorbic Acid, Dextrin, Triglycerides, Enzymes, Vegetable Proteins (pea, Potato, Faba), Modified Food Starch. Contains: Wheat., Tomato Ingredients: Tomato., Lettuce Ingredients: Lettuce., Mayonnaise Ingredients: Soybean Oil, Egg Yolk, Water, Distilled Vinegar, Salt, Sugar, Spice, Lemon Juice Concentrate."
200066,Small French Fries,"Snacks & Sides, Meals-Change Sides, Full Menu Items, D123 Menu, PM D123 Menu","Milk, Wheat",6050,220.0,,Cal.,90.0,,Cal.,910.0,,kilojoules,3.0,0.06,grams,29.0,0.10545454545454545,grams,3.0,0.10714285714285714,grams,0.0,,grams,0.0,0.0,grams,10.0,0.1282051282051282,grams,1.5,0.075,grams,0.0,,grams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,10.0,0.007692307692307693,milligrams,0.5,0.027777777777777776,milligrams,0.0,0.0,milligrams,450.0,0.09574468085106383,milligrams,180.0,0.0782608695652174,milligrams,0.0,0.0,milligrams,"Ingredients: Potatoes, Vegetable Oil (canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil, Natural Beef Flavor [wheat And Milk Derivatives]*), Dextrose, Sodium Acid Pyrophosphate (maintain Color), Salt. *natural Beef Flavor Contains Hydrolyzed Wheat And Hydrolyzed Milk As Starting Ingredients."
200020,Coffee (Small),"Dollar Menu, McCafé, Meals-Change Drinks, Favorites Under 400",,24,0.0,,Cal.,0.0,,Cal.,0.0,,kilojoules,2.0,0.04,grams,1.0,0.0036363636363636364,grams,0.0,0.0,grams,0.0,,grams,0.0,0.0,grams,0.0,0.0,grams,0.0,0.0,grams,0.0,,grams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,8.0,0.006153846153846154,milligrams,0.0,0.0,milligrams,10.0,0.008,milligrams,190.0,0.04042553191489362,milligrams,20.0,0.008695652173913044,milligrams,165.0,0.4125,milligrams,Ingredients: Brewed Coffee.
203901,Spicy Crispy Chicken Sandwich,Chicken and Sandwiches,"Egg, Wheat",116,530.0,,Cal.,230.0,,Cal.,2220.0,,kilojoules,27.0,0.54,grams,47.0,0.1709090909090909,grams,1.0,0.03571428571428571,grams,9.0,,grams,8.0,0.16,grams,26.0,0.3333333333333333,grams,4.0,0.2,grams,0.0,,grams,65.0,0.21666666666666667,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,30.0,0.023076923076923078,milligrams,2.0,0.1111111111111111,milligrams,0.0,0.0,milligrams,420.0,0.08936170212765958,milligrams,1230.0,0.5347826086956522,milligrams,0.0,0.0,milligrams,"Ingredients: Chicken Breast Fillets With Rib Meat, Water, Wheat Flour, Vegetable Oil (canola Oil, Corn Oil, Soybean Oil, Hydrogenated Soybean Oil), Sugar, Salt, Modified Food Starch, Leavening (baking Soda, Sodium Aluminum Phosphate, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Yellow Corn Flour, Modified Corn Starch, Sodium Phosphate, Spices, Wheat Gluten, Yeast Extract, Monosodium Glutamate, Extractives Of Paprika (color), Natural Flavors, Gum Arabic, Maltodextrin. Contains: Wheat., Potato Roll Ingredients: Water, Flour (wheat, Malted Barley), Enriched Flour (wheat Flour, Malted Barley, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Potato Flour, Yeast, Wheat Gluten, Soybean Oil, Contains 2% Or Less: Honey, Natural Flavors, Salt, Corn Flour, Colors (turmeric, Paprika), Vinegar, Dextrose, Corn Starch, Maltodextrin, Ascorbic Acid, Dextrin, Triglycerides, Enzymes, Vegetable Proteins (pea, Potato, Faba), Modified Food Starch. Contains: Wheat., Spicy Pepper Sauce Ingredients: Soybean Oil, Water, Distilled Vinegar, Egg Yolk, Habanero Pepper, Salt, Sugar, Contains 2% Or Less: Mustard Seed, Garlic, Onion, Xantham Gum, Red Bell Pepper, Lactic Acid, Propylene Glycol Alginate, Spice, Natural Flavor, Oleoresin Paprika (color), Preservatives (sodium Benzoate, Potassium Sorbate), Calcium Disodium Edta (protect Flavor)."
200647,Dr Pepper (Large),"Beverages, Meals-Change Drinks",,422,280.0,,Cal.,0.0,,Cal.,,,,0.0,0.0,grams,75.0,0.2727272727272727,grams,1.0,0.03571428571428571,grams,73.0,,grams,,,,0.0,0.0,grams,0.0,0.0,grams,0.0,,grams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,microgram,15.0,0.011538461538461539,milligrams,0.0,0.0,milligrams,0.0,0.0,milligrams,0.0,0.0,milligrams,90.0,0.0391304347826087,milligrams,0.0,0.0,No unit of measurement,"Ingredients: Carbonated Water, High Fructose Corn Syrup, Water, Caramel Color, Phosphoric Acid, Caffeine, Sodium Benzoate (preservative), Natural And Artificial Flavors, Dimethypolysiloxane., Ice Ingredients: Ice.."
